"","ID","name","category","main_category","currency","deadline","goal","launched","pledged","backers","country","usd_pledged_real","usd_goal_real","usd_pledged","status","euros_pledged","euros_goal","proyect_length"
"306971",633355997,"Tigris Clothing Co: Color Changing Shirts to Save the Tigers","Apparel","Fashion","USD",2017-04-01,1000,2017-03-02,65,3,"US",65,1000,65,"0",52.84553,813.01,30
"176997",190039080,"Le Toast'ap","Food","Food","EUR",2016-04-16,20000,2016-03-18,7044,58,"FR",7933.68,22526.07,7933.68,"0",6450.146,16260.16,29
"315974",679430346,"Southern Choice (Missouri Football Song) Video","Film & Video","Film & Video","USD",2012-09-05,10000,2012-08-06,1290,18,"US",1290,10000,1290,"0",1048.78,8130.08,30
"18908",1095836265,"Pounce, a game of skill, speed and epic plays!!! (Canceled)","Tabletop Games","Games","CAD",2015-01-01,20000,2014-12-02,891,18,"CA",762.71,17120.36,762.71,"0",620.0894,16260.16,30
"4741",1024117688,"River rock accent mats","Crafts","Crafts","USD",2015-07-13,500,2015-07-08,22,2,"US",22,500,22,"0",17.88618,406.5,5
"230425",241295713,"Free Camp Festivals LLC - The Great Arizona Campout Festival","Music","Music","USD",2017-08-06,36000,2017-06-27,0,0,"US",0,36000,0,"0",0,29268.29,40
"218744",211418197,"The H.M.S. Bad Idea: An Anti-Self-Help Comic Collection","Webcomics","Comics","CAD",2014-05-28,8000,2014-04-21,13626.01,365,"CA",12574.76,7382.8,12574.76,"1",10223.38,6504.06,37
"288359",53722387,"Imago Dei","Faith","Music","USD",2014-08-28,3500,2014-07-29,5051,20,"US",5051,3500,5051,"1",4106.504,2845.53,30
"378333",998431812,"Lowell Artistry","Pottery","Crafts","USD",2014-07-30,15000,2014-07-10,11,3,"US",11,15000,11,"0",8.943089,12195.12,20
"123759",1628348440,"Pro Clip : Keep Your GoPro Accessible And Secure","Product Design","Design","USD",2017-06-01,40000,2017-05-02,4875,88,"US",4875,40000,4875,"0",3963.415,32520.33,30
"198856",2012656631,"4 Girlz By Girlz","Childrenswear","Fashion","USD",2014-12-17,10000,2014-11-25,0,0,"US",0,10000,0,"0",0,8130.08,22
"220014",2120592849,"Green Living","Architecture","Design","USD",2016-03-18,35000,2016-01-25,13,4,"US",13,35000,13,"0",10.56911,28455.28,53
"264779",4168899,"Organic, All natural, Cocao Based Skin Care","Food","Food","USD",2015-08-13,2000,2015-07-14,0,0,"US",0,2000,0,"0",0,1626.02,30
"162427",1826229103,"The Bio Bus","Food Trucks","Food","USD",2014-12-26,21000,2014-12-03,16,2,"US",16,21000,16,"0",13.00813,17073.17,23
"214304",2091943108,"Splash Baby! - The Splash Guard (Canceled)","Product Design","Design","USD",2015-10-15,10000,2015-09-15,0,0,"US",0,10000,0,"0",0,8130.08,30
"56988",1289920585,"Desperate","Film & Video","Film & Video","GBP",2014-01-08,125000,2013-12-10,20,1,"GB",32.82,205116.42,32.82,"0",26.68293,101626,29
"96924",1492423757,"Rain Music Instrumental","Faith","Music","USD",2015-03-15,5500,2015-02-13,1217,12,"US",1217,5500,1217,"0",989.4309,4471.54,30
"375073",9814304,"TapTap, a touch communication wristband","Wearables","Technology","USD",2013-11-22,130000,2013-10-16,107148.74,890,"US",107148.74,130000,107148.74,"0",87112.8,105691.1,37
"143025",1726758173,"Jeremy Current: Making the record ""Dark Land of the Sun""","Music","Music","USD",2011-04-22,6000,2011-03-07,6575,143,"US",6575,6000,6575,"1",5345.528,4878.05,46
"318916",69441430,"Space Groovy","World Music","Music","EUR",2017-11-16,5000,2017-10-02,0,0,"NL",0,5897.48,0,"0",0,4065.04,45
"175447",1892298953,"SUB UMBRA ALARUM LUNA","Experimental","Film & Video","SEK",2016-02-15,30000,2015-12-30,4998.3,15,"SE",591.03,3547.4,591.03,"0",480.5122,24390.24,47
"138844",1705267699,"Commissions: Unique Indigo Dye","DIY","Crafts","HKD",2017-12-28,50000,2017-11-28,100,1,"HK",12.8,6398.28,12.8,"0",10.4065,40650.41,30
"257210",377990594,"MeTea ~ Tea Made Just For You","Drinks","Food","USD",2016-04-14,3000,2016-03-15,30,2,"US",30,3000,30,"0",24.39024,2439.02,30
"100379",1509791384,"Spoof The Saga: An Independent Sci-Fi Parody Mini-Series","Comedy","Film & Video","USD",2016-06-03,20000,2016-05-04,1095,15,"US",1095,20000,1095,"0",890.2439,16260.16,30
"305524",625847298,"100% Luxury WOVEN Bamboo by Casualmere® Initial Production","Fashion","Fashion","USD",2013-04-30,50000,2013-03-16,1425,8,"US",1425,50000,1425,"0",1158.537,40650.41,45
"312668",662673376,"JennyRebecca's Song Diary","Music","Music","USD",2012-06-08,8000,2012-05-04,9227.01,236,"US",9227.01,8000,9227.01,"1",7501.634,6504.06,35
"206143",2050173063,"Jazz: The George Kahn Trio with Alex Acuna, Lyman Medeiros","Jazz","Music","USD",2017-08-09,9997,2017-06-30,10361,122,"US",10361,9997,10361,"1",8423.577,8127.64,40
"23943",1121519837,"Mahonia Gardens: Growing in the High Desert","Food","Food","USD",2013-03-18,8090,2013-02-20,9025.01,161,"US",9025.01,8090,9025.01,"1",7337.407,6577.24,26
"257598",379803515,"The Deadliest Prey (Deadly Prey Sequel)","Narrative Film","Film & Video","USD",2011-12-09,10000,2011-10-10,2565,12,"US",2565,10000,2565,"0",2085.366,8130.08,60
"99726",1506422868,"The  Hockey Legacy  Apparel Project","Fashion","Fashion","USD",2011-01-28,650,2010-12-29,937,34,"US",937,650,937,"1",761.7886,528.46,30
"354832",877657774,"Zombie Bride The Playing Cards and Game","Playing Cards","Games","NZD",2015-12-26,9600,2015-11-26,2969,66,"NZ",2029.95,6563.65,2029.95,"0",1650.366,7804.88,30
"103715",152721407,"AQUAMARINE NOTEBOOKS","Product Design","Design","NZD",2017-10-20,850,2017-09-20,851,18,"NZ",595.6,594.9,595.6,"1",484.2276,691.06,30
"376809",990666180,"INTERSECTIONS: POLICE + YOUTH WRITING PLAYS TOGETHER","Theater","Theater","USD",2015-03-23,2300,2015-03-08,3262,66,"US",3262,2300,3262,"1",2652.033,1869.92,15
"151880",1771619357,"#KleanLyfe Escape the Lyfestyle and Klean it up.","Apparel","Fashion","USD",2015-11-04,1200,2015-10-05,1201,19,"US",1201,1200,1201,"1",976.4228,975.61,30
"129394",1656995719,"La reconquista - escultura utilitaria de cerámica","Ceramics","Art","MXN",2017-07-15,28000,2017-06-20,33807,28,"MX",1931.61,1599.82,1931.61,"1",1570.415,22764.23,25
"35754",1181355401,"Loo Shelf - The Bathroom Shelf For Your Phone!","Technology","Technology","USD",2017-07-27,30000,2017-06-27,931,17,"US",931,30000,931,"0",756.9106,24390.24,30
"49070",1250110493,"make / 100 Frames of Sweet Phyllis","Animation","Film & Video","USD",2017-01-31,100,2017-01-25,120,39,"US",120,100,120,"1",97.56098,81.3,6
"301044",602820295,"Goingad","Web","Technology","GBP",2016-02-29,53000,2016-01-11,5576,6,"GB",7894.44,75036.81,7894.44,"0",6418.244,43089.43,49
"279847",493563875,"CASH Music Platform","Software","Technology","USD",2012-03-10,30000,2012-02-10,61609.94,1366,"US",61609.94,30000,61609.94,"1",50089.38,24390.24,29
"188941",1961408855,"Good Game, Well Played-The Story of Irish eSports.","Documentary","Film & Video","EUR",2016-02-03,3500,2015-12-05,863.37,15,"IE",967.14,3920.69,967.14,"0",786.2927,2845.53,60
"19909",1100997300,"Aranyus - A Journey Begins RPG (Canceled)","Video Games","Games","USD",2014-12-04,85000,2014-11-04,2485,26,"US",2485,85000,2485,"0",2020.325,69105.69,30
"317715",688309327,"The ""Sweet Old Fashioned Girl"" Album","Jazz","Music","USD",2011-02-08,10000,2011-01-07,1070,23,"US",1070,10000,1070,"0",869.9187,8130.08,32
"215156",2096285738,"Kick Out a Record","Pop","Music","USD",2014-07-12,1000,2014-06-12,1175,25,"US",1175,1000,1175,"1",955.2846,813.01,30
"140048",1711217292,"My own studio (Suspended) (Suspended) (Suspended)","Painting","Art","USD",2016-01-21,2000,2015-11-22,355,8,"US",355,2000,355,"0",288.6179,1626.02,60
"230913",243846574,"Team Ties - Custom made ties and apparel","Apparel","Fashion","AUD",2015-12-25,1000,2015-12-10,2,2,"AU",1.46,730.83,1.46,"0",1.186992,813.01,15
"311312",655899366,"Bree's Beauty","Accessories","Fashion","USD",2016-08-10,10000,2016-07-11,0,0,"US",0,10000,0,"0",0,8130.08,30
"219073",2115781709,"Swine Farm Liquid Medicine Inventory Management IoT Systems","Hardware","Technology","USD",2016-06-16,50000,2016-05-17,0,0,"US",0,50000,0,"0",0,40650.41,30
"89280",1453670702,"The Upside Down Book Documentary","Documentary","Film & Video","USD",2012-12-14,5000,2012-11-14,5306,53,"US",5306,5000,5306,"1",4313.821,4065.04,30
"226789",222930334,"Miss Vega: It's not a shoe, It's not a sock, it's a shock!","Footwear","Fashion","USD",2014-12-29,25000,2014-11-17,2841,15,"US",2841,25000,2841,"0",2309.756,20325.2,42
"70129",1356952487,"The Safe-Pron reduces burns /visually impaired/cooks/chef","Product Design","Design","GBP",2016-02-15,1800,2016-01-04,405,23,"GB",578.25,2570,578.25,"0",470.122,1463.41,42
"35163",1178277987,"Major Powers: Album Number Two","Music","Music","USD",2015-09-02,9999,2015-08-03,12451.09,197,"US",12451.09,9999,12451.09,"1",10122.84,8129.27,30
"192802",1981098913,"Jonathan Thompson: Seven Premieres & Four Recitals!","Classical Music","Music","USD",2016-09-09,4000,2016-08-09,977,29,"US",977,4000,977,"0",794.3089,3252.03,31
"72602",1369531132,"Photo-Essay of historic Savannah","Places","Photography","USD",2014-08-20,889,2014-07-21,1,1,"US",1,889,1,"0",0.8130081,722.76,30
"355670",881671061,"Affordable Compact Aquaponics","Farms","Food","USD",2015-04-30,10000,2015-03-31,260,5,"US",260,10000,260,"0",211.3821,8130.08,30
"173815",1883918917,"Jamie Lou & The Hullabaloo: First EP 'Femi-Socialite' !!!!","Indie Rock","Music","USD",2017-02-18,3000,2017-01-04,3545,23,"US",3545,3000,3545,"1",2882.114,2439.02,45
"356823",887697522,"Yerba Buena","Fashion","Fashion","USD",2013-03-08,500,2013-03-01,820,49,"US",820,500,820,"1",666.6667,406.5,7
"23310",1118321173,"Anthropology of Star Trek","Nonfiction","Publishing","USD",2014-01-28,8000,2013-11-30,401,5,"US",401,8000,401,"0",326.0163,6504.06,59
"79339",1403606643,"Cardtorial: Laser-Cut Wood Cards & Wedding Invitations","Product Design","Design","USD",2012-10-10,10000,2012-09-10,12836,322,"US",12836,10000,12836,"1",10435.77,8130.08,30
"157399",1800717631,"FAMILY BUSINESS KICKSTARTER","Rock","Music","USD",2015-06-03,4000,2015-05-03,5465,78,"US",5465,4000,5465,"1",4443.089,3252.03,31
"36042",1182907930,"10 Year Anniversary CD by TRI-FI: Staring into the Sun","Jazz","Music","USD",2013-12-09,6500,2013-11-22,7137,134,"US",7137,6500,7137,"1",5802.439,5284.55,17
"244301",312464012,"Loopio & Loopio Sport | Never lose your keys or phone again.","Product Design","Design","GBP",2015-06-17,30000,2015-05-13,7461,216,"GB",11816.97,47514.97,11816.97,"0",9607.293,24390.24,35
"261401",399567031,"Amanda's recording an album","Music","Music","USD",2014-08-15,6000,2014-07-25,6829,0,"US",6829,6000,6829,"1",5552.033,4878.05,21
"35905",1182208973,"Baker Man debut EP","Indie Rock","Music","USD",2014-12-07,3000,2014-11-07,323,10,"US",323,3000,323,"0",262.6016,2439.02,30
"158950",1808462526,"The Ultimate Sports Bottle: Complete Hydration","Design","Design","USD",2014-03-23,5000,2014-02-21,194,9,"US",194,5000,194,"0",157.7236,4065.04,30
"370474",957646443,"Seattle Superfans - Twelve Collection (Canceled)","Apparel","Fashion","USD",2014-11-01,6000,2014-10-10,0,0,"US",0,6000,0,"0",0,4878.05,22
"309251",645214030,"Free To Play Sci Fi Fantasy MMO! (Canceled)","Video Games","Games","USD",2011-12-17,17000,2011-10-18,78,2,"US",78,17000,78,"0",63.41463,13821.14,60
"293443",563613025,"One Man:Two Sides- Bipolar Disorder & Photography","Photography","Photography","USD",2015-08-20,1500,2015-07-21,0,0,"US",0,1500,0,"0",0,1219.51,30
"38667",1196311731,"T.G.I.M. TV SHOW with indie movies, music & fun","Webseries","Film & Video","USD",2013-10-09,7000,2013-09-09,2275,12,"US",2275,7000,2275,"0",1849.593,5691.06,30
"68377",1348032135,"Canceled (Canceled)","Restaurants","Food","CAD",2015-01-14,10000,2014-12-30,0,0,"CA",0,8309.1,0,"0",0,8130.08,15
"61494",1312810727,"Help The King in Yellow record their debut EP","Indie Rock","Music","USD",2012-04-27,1000,2012-03-28,1110,13,"US",1110,1000,1110,"1",902.439,813.01,30
"360009",904042250,"Trae Sheehan's Debut LP","Country & Folk","Music","USD",2017-10-31,2500,2017-10-01,2640,42,"US",2640,2500,2640,"1",2146.341,2032.52,30
"239517",287975927,"Bespoke Handmade Jewellery by Lou","Crafts","Crafts","GBP",2017-02-22,500,2017-01-23,10,1,"GB",12.55,627.73,12.55,"0",10.20325,406.5,30
"352558",866151053,"Chicago Art Project","Illustration","Art","USD",2012-10-29,200,2012-10-09,0,0,"US",0,200,0,"0",0,162.6,20
"169437",1861899142,"Spin - The Gyroscopic Spintop","Hardware","Technology","USD",2016-05-03,15000,2016-03-29,152286,1871,"US",152286,15000,152286,"1",123809.8,12195.12,35
"76214",1387991565,"KeyDrop. - Redefining Your Pockets. Key Holder, Key Ring","Product Design","Design","AUD",2016-11-18,2500,2016-10-04,870,27,"AU",643.25,1848.43,643.25,"0",522.9675,2032.52,45
"185309",1943563330,"Forte","Apps","Technology","GBP",2017-12-24,5000,2017-11-24,25,1,"GB",33.79,6758.67,33.79,"0",27.47154,4065.04,30
"346312",834080269,"The Silence","Narrative Film","Film & Video","USD",2012-02-06,700,2012-01-07,897,21,"US",897,700,897,"1",729.2683,569.11,30
"115803",158793736,"Cantor Fitzgerald","Publishing","Publishing","USD",2016-06-30,2e+05,2016-05-23,0,0,"US",0,2e+05,0,"0",0,162601.6,38
"245757",319895343,"The Ultimate Fishing Music Video, featuring YOU!","Music Videos","Film & Video","USD",2014-05-31,600,2014-05-01,0,0,"US",0,600,0,"0",0,487.8,30
"287672",533666331,"2013 Photography Exhibit","Photography","Photography","USD",2013-04-11,1000,2013-03-12,25,1,"US",25,1000,25,"0",20.3252,813.01,30
"371235",96166788,"The Bounty","Film & Video","Film & Video","USD",2012-07-08,1500,2012-06-08,210,10,"US",210,1500,210,"0",170.7317,1219.51,30
"103098",1524066578,"Let's Draw Underwater!!!","Art","Art","USD",2011-09-19,1000,2011-08-20,1292.23,31,"US",1292.23,1000,1292.23,"1",1050.593,813.01,30
"19609",1099544436,"ROTO - Wireless 3-speaker system in a vintage rotary phone","Sound","Technology","USD",2017-02-22,1800,2017-01-23,2618,12,"US",2618,1800,2618,"1",2128.455,1463.41,30
"226538",221557154,"Middle East Peace Games plus Documentary (Canceled)","Documentary","Film & Video","USD",2012-09-01,780000,2012-07-30,2590,8,"US",2590,780000,2590,"0",2105.691,634146.3,33
"250624",344784005,"The Darkest Hours. A Dark Alternative Variety Show. ","Webseries","Film & Video","USD",2010-06-28,5000,2010-03-30,31.69,2,"US",31.69,5000,31.69,"0",25.76423,4065.04,90
"261903",402129274,"Cubit - Making Electronics Accessible","DIY Electronics","Technology","USD",2015-06-16,50000,2015-05-12,105714,623,"US",105714,50000,105714,"1",85946.34,40650.41,35
"254135",362288685,"Honeycomb Cavern - A Roll and Write Game Book","Tabletop Games","Games","USD",2017-11-19,300,2017-10-30,773,112,"US",773,300,773,"1",628.4553,243.9,20
"366295",936302299,"Kraken Disc Golf Bag","Product Design","Design","USD",2016-10-25,65000,2016-09-15,698,4,"US",698,65000,698,"0",567.4797,52845.53,40
"52557",1267391456,"Romantic Valentine's Day Jazz Album","Jazz","Music","USD",2017-11-20,25000,2017-10-27,5452,92,"US",5452,25000,5452,"0",4432.52,20325.2,24
"150989",1767256793,"Valencia, the film: Chapter 17 (Canceled)","Shorts","Film & Video","USD",2011-05-31,5000,2011-04-07,40,2,"US",40,5000,40,"0",32.52033,4065.04,54
"58645",1298267565,"spry imp // a new album by julie slick + mike visser","Rock","Music","USD",2013-10-09,4000,2013-09-18,1570,28,"US",1570,4000,1570,"0",1276.423,3252.03,21
"253466",359075964,"Sight Word Music Videos","Animation","Film & Video","USD",2014-06-03,220000,2014-04-29,4906.59,124,"US",4906.59,220000,4906.59,"0",3989.098,178861.8,35
"177868",1904884164,"The Truck Project goes to New Orleans and Austin","Performance Art","Art","USD",2010-10-27,3000,2010-09-12,3360.62,84,"US",3360.62,3000,3360.62,"1",2732.211,2439.02,45
"310981",654085806,"You Will Love Me","Narrative Film","Film & Video","USD",2012-06-15,5000,2012-05-16,1655,32,"US",1655,5000,1655,"0",1345.528,4065.04,30
"367732",943668436,"Reach For Me - 9 Attachment Mobility Tool","Product Design","Design","EUR",2015-03-06,40000,2015-01-05,147,6,"IE",161.16,43851.96,161.16,"0",131.0244,32520.33,60
"245614",319198530,"Safety|Net - Stay Connected. Stay Secure.","Apps","Technology","USD",2015-08-21,10000,2015-06-22,346,7,"US",346,10000,346,"0",281.3008,8130.08,60
"344561",825006019,"Good Karma EP","Music","Music","USD",2017-06-01,5000,2017-04-06,0,0,"US",0,5000,0,"0",0,4065.04,56
"105199",1534727409,"Movie Metaphors for the Christian Soul","Nonfiction","Publishing","USD",2014-08-15,5500,2014-08-05,40,3,"US",40,5500,40,"0",32.52033,4471.54,10
"360679",907702214,"Brick to the Future Minifig Accessories","Product Design","Design","USD",2015-12-01,20000,2015-10-21,15723,193,"US",15723,20000,15723,"0",12782.93,16260.16,41
"241621",298896921,"Sunday Gravy","Immersive","Theater","USD",2015-09-25,2500,2015-08-23,0,0,"US",0,2500,0,"0",0,2032.52,33
"245848",320339695,"Help The Man Power Make A Record!","Pop","Music","USD",2011-03-14,1200,2011-02-05,410,7,"US",410,1200,410,"0",333.3333,975.61,37
"217045",2105630734,"Textile Arts Center : The Jump Start","Textiles","Art","USD",2010-06-30,1000,2010-05-26,1075,19,"US",1075,1000,1075,"1",873.9837,813.01,35
"36031",1182863591,"A Day of Rainbow Rex","Product Design","Design","USD",2016-12-16,10000,2016-11-22,565,4,"US",565,10000,565,"0",459.3496,8130.08,24
"242592",303769302,"Roots Music Club 2014-15 Album","Music","Music","USD",2015-03-16,450,2015-02-12,547,19,"US",547,450,547,"1",444.7154,365.85,32
"350812",857157090,"Chelsea Rae's EPK project","Country & Folk","Music","USD",2012-01-21,1500,2011-12-22,1520,18,"US",1520,1500,1520,"1",1235.772,1219.51,30
"54183",1275740461,"Star Ascent","Mobile Games","Games","CAD",2015-09-16,200,2015-08-02,50,2,"CA",38.38,153.53,38.38,"0",31.20325,162.6,45
"374734",979742252,"6:01 a.m. - A Working Class Opera","Theater","Theater","USD",2012-12-03,1000,2012-11-13,125,6,"US",125,1000,125,"0",101.626,813.01,20
"248484",333756866,"The start of a new Trend","Product Design","Design","USD",2012-08-25,6000,2012-07-21,1710,20,"US",1710,6000,1710,"0",1390.244,4878.05,35
"99554",1505427982,"BLACK IRISH goes to COMIC CON!","Fiction","Publishing","USD",2014-02-17,2000,2014-01-03,2050,23,"US",2050,2000,2050,"1",1666.667,1626.02,45
"4017",1020628996,"Help a Local Band make their first video!","Rock","Music","USD",2013-03-31,3000,2013-03-01,280,9,"US",280,3000,280,"0",227.6423,2439.02,30
"334377",77331273,"Columbus Park Ramen Shop - Kansas City's First Ramen Shop","Restaurants","Food","USD",2015-04-19,37000,2015-03-20,41100,349,"US",41100,37000,41100,"1",33414.63,30081.3,30
"376369",988321876,"Angela Bacskocky GHOST Spring 2013 conceptual fashion launch","Fashion","Fashion","USD",2013-03-22,4000,2013-02-20,4390,76,"US",4390,4000,4390,"1",3569.106,3252.03,30
"245701",31963390,"Chatype: A Typeface for Chattanooga, Tennessee.","Typography","Design","USD",2012-03-01,10000,2012-01-22,11476.01,311,"US",11476.01,10000,11476.01,"1",9330.089,8130.08,39
"317783",688601772,"Stephen Hawking Hologram Project","Mixed Media","Art","EUR",2015-09-15,15000,2015-07-21,1108,10,"FR",1265.23,17128.57,1265.23,"0",1028.642,12195.12,56
"373159",971508852,"Punishments from God (Phase 1)","Photography","Photography","USD",2012-10-31,500,2012-09-27,526,12,"US",526,500,526,"1",427.6423,406.5,34
"6344",1032462527,"A revolutionary slip-resistance system:a transparent varnish","Technology","Technology","EUR",2015-11-17,25000,2015-09-18,60,1,"IT",64.13,26719.96,64.13,"0",52.13821,20325.2,60
"358754",8976416,"Everyday Leather Belt - American leather meets British brass","Product Design","Design","GBP",2015-04-13,1000,2015-03-23,1595,37,"GB",2395.94,1502.16,2395.94,"1",1947.919,813.01,21
"10297",1051778138,"Crazy Jane: New Works by Women Composers of Cascadia","Classical Music","Music","USD",2011-08-21,1500,2011-07-06,1545,50,"US",1545,1500,1545,"1",1256.098,1219.51,46
"8850",1044667837,"ArtBnB - Like Airbnb, but for Art","Art","Art","GBP",2016-03-16,15000,2016-02-10,3479.14,135,"GB",5040.26,21730.63,5040.26,"0",4097.772,12195.12,35
"362670",917885626,"Social Cookie: The First Social Media Inspired Treat","Restaurants","Food","USD",2014-12-11,50000,2014-11-11,7771,147,"US",7771,50000,7771,"0",6317.886,40650.41,30
"146117",174237294,"InkShield: An Open Source Inkjet Shield for Arduino","DIY Electronics","Technology","USD",2011-10-02,2500,2011-09-02,8053.09,146,"US",8053.09,2500,8053.09,"1",6547.228,2032.52,30
"94375",1479806427,"RATs Radio Mic Fundraiser","Mixed Media","Art","USD",2013-06-01,500,2013-05-02,15,2,"US",15,500,15,"0",12.19512,406.5,30
"326240",731582878,"Smiti - E.A.S.Y. to save the planet","Product Design","Design","USD",2017-03-27,5000,2017-02-10,5027,26,"US",5027,5000,5027,"1",4086.992,4065.04,45
"147766",1750910806,"Moonbow is making a Record","Rock","Music","USD",2013-04-30,4000,2013-03-30,4340,101,"US",4340,4000,4340,"1",3528.455,3252.03,31
"59342",1301830824,"Art Voyage to Melbourne - Tender to -$$$","Art","Art","AUD",2015-03-14,650,2015-02-12,100,1,"AU",77.04,500.73,77.04,"0",62.63415,528.46,30
"74980",1381967350,"Payback For My Childhood Webseries","Webseries","Film & Video","USD",2012-11-18,500,2012-10-19,26,2,"US",26,500,26,"0",21.13821,406.5,30
"27386",1139118453,"Taking of Taidian","Tabletop Games","Games","USD",2016-11-11,35000,2016-10-10,320,9,"US",320,35000,320,"0",260.1626,28455.28,32
"14907",1075076288,"The VeggieTall","Spaces","Food","GBP",2017-11-01,30000,2017-10-02,20,1,"GB",26.22,39327.24,26.22,"0",21.31707,24390.24,30
"233500",256872040,"Yoga: The peaceful foundation of a Well Economy","Civic Design","Design","USD",2016-11-10,10000,2016-10-11,3270,20,"US",3270,10000,3270,"0",2658.537,8130.08,30
"101046",1513273097,"CROSS GRABADO TECH+ The Smart Wallet - Red Dot Design Award","Product Design","Design","CAD",2015-06-28,10000,2015-04-29,2426,26,"CA",1928.15,7947.86,1928.15,"0",1567.602,8130.08,60
"143413",1728591273,"Aaron and Tyler want to make a movie","Comedy","Film & Video","CAD",2015-03-02,4000,2015-01-28,4,4,"CA",3.21,3208.73,3.21,"0",2.609756,3252.03,33
"290312",547161691,"Inside Out | Occupy Oakland","Photography","Photography","USD",2012-03-12,8000,2012-02-11,8042,124,"US",8042,8000,8042,"1",6538.211,6504.06,30
"279190",490144885,"ObyRollz - That's How We Roll! (Canceled)","Childrenswear","Fashion","USD",2016-06-05,10000,2016-05-06,228,4,"US",228,10000,228,"0",185.3659,8130.08,30
"326423",732640332,"Thieves Run the Night - Let's make a short film in Nigeria!","Shorts","Film & Video","USD",2011-12-25,8500,2011-11-25,875,18,"US",875,8500,875,"0",711.3821,6910.57,30
"369076",950450807,"House of Dunbar-The Rise and Fall of a Scottish Noble Family","Nonfiction","Publishing","USD",2015-12-26,5000,2015-11-26,5202.5,78,"US",5202.5,5000,5202.5,"1",4229.675,4065.04,30
"262156",403472306,"SOS-6","Painting","Art","EUR",2016-05-15,360,2016-04-15,378,9,"NL",424.08,403.88,424.08,"1",344.7805,292.68,30
"304820",622141162,"Sugar Bakery","Restaurants","Food","USD",2015-07-26,4e+05,2015-05-27,60,1,"US",60,4e+05,60,"0",48.78049,325203.3,60
"326432",732674723,"""Incognito"" - Richard X. Heyman's new album!","Rock","Music","USD",2017-06-03,8000,2017-04-04,8609,118,"US",8609,8000,8609,"1",6999.187,6504.06,60
"26653",1135308714,"Victorian Gothic & Steampunk Magazine printing/subscriptions","Print","Journalism","USD",2015-05-21,3500,2015-04-06,237,10,"US",237,3500,237,"0",192.6829,2845.53,45
"106006",1538800482,"Lights, Camera, and Behind the Action!","Family","Film & Video","USD",2014-08-06,3500,2014-07-07,25,1,"US",25,3500,25,"0",20.3252,2845.53,30
"11462",1057465524,"Promote new, self-published historical novel set in Shanghai","Publishing","Publishing","USD",2011-05-08,425,2011-03-23,535,20,"US",535,425,535,"1",434.9593,345.53,46
